Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,152.0,152.89,152.0,152.37,3786804,152.37
2017-06-05,151.82,152.93,151.68,152.41,3975268,152.41
2017-06-02,153.07,153.2,151.8,152.05,3585701,152.05
2017-06-01,152.8,152.87,151.63,152.67,2918126,152.67
2017-05-31,152.03,152.8,151.65,152.63,3543404,152.63
2017-05-30,151.95,152.67,151.59,151.73,3666032,151.73
2017-05-26,152.85,153.0,152.06,152.49,2443507,152.49
2017-05-25,153.25,153.73,152.95,153.2,2582815,153.2
2017-05-24,152.21,152.76,151.23,152.51,3732399,152.51
2017-05-23,152.57,153.68,151.92,152.03,2564503,152.03
2017-05-22,152.1,152.84,151.6,152.64,3302539,152.64
2017-05-19,151.01,152.46,150.89,151.98,5643264,151.98
2017-05-18,150.86,151.33,150.11,150.78,3274371,150.78
2017-05-17,153.3,154.14,150.89,150.93,5191494,150.93
2017-05-16,151.66,153.99,151.66,153.68,5513690,153.68
2017-05-15,150.62,151.83,150.45,151.51,4245471,151.51
2017-05-12,150.3,151.26,150.0,150.37,3715702,150.37
2017-05-11,151.05,151.15,149.79,150.65,5627964,150.65
2017-05-10,151.65,152.37,151.13,151.25,4999861,151.25
2017-05-09,152.6,153.1,151.56,152.11,6853043,152.11
2017-05-08,152.8,153.47,152.2,153.03,7491966,153.03
2017-05-05,153.52,155.78,153.0,155.05,12521335,155.05
2017-05-04,158.89,159.14,158.36,159.05,4280613,159.05
2017-05-03,158.74,159.45,158.52,158.63,3993396,158.63
2017-05-02,159.44,159.49,158.64,159.1,3208239,159.1
2017-05-01,160.05,160.42,158.7,158.84,4935312,158.84
2017-04-28,160.5,160.59,159.7,160.29,4154147,160.29
2017-04-27,160.29,160.48,159.63,160.32,4122943,160.32
2017-04-26,160.53,161.1,159.89,160.06,4328001,160.06
2017-04-25,161.78,162.04,160.38,160.39,4860407,160.39
2017-04-24,161.29,161.57,160.42,160.75,5320608,160.75
2017-04-21,162.05,162.11,160.38,160.38,5607756,160.38
2017-04-20,161.32,162.4,160.5,162.3,6487379,162.3
2017-04-19,161.76,162.64,159.6,161.69,19284284,161.69
2017-04-18,170.79,171.69,169.83,170.05,6345465,170.05
2017-04-17,169.75,171.3,169.62,171.1,3720218,171.1
2017-04-13,169.92,171.36,169.53,169.53,3205462,169.53
2017-04-12,171.04,171.2,170.02,170.66,3276931,170.66
